year,month,month_name,total_sales_value,period,growth_pct
2011,5,May,98951.0,May 2011,
2011,6,June,174527.0,Jun 2011,76.37719679437298
2011,7,July,178097.0,Jul 2011,2.045528772052463
2011,8,August,188631.0,Aug 2011,5.9147543192754615
2011,9,September,169173.0,Sep 2011,-10.315377642063073
2011,10,October,182634.0,Oct 2011,7.956943483889267
2011,11,November,166921.0,Nov 2011,-8.60354588959339
2011,12,December,181405.0,Dec 2011,8.677158655891116
2012,1,January,177987.0,Jan 2012,-1.8841818031476554
2012,2,February,170135.0,Feb 2012,-4.411558147505157
2012,3,March,180453.0,Mar 2012,6.064595762188851
2012,4,April,168000.0,Apr 2012,-6.900965902478761
2012,5,May,178880.0,May 2012,6.47619047619048
2012,6,June,172933.0,Jun 2012,-3.3245751341681617
2012,7,July,179117.0,Jul 2012,3.5759513800142306
2012,8,August,179284.0,Aug 2012,0.09323514797590082
2012,9,September,175045.0,Sep 2012,-2.364405077976839
2012,10,October,181862.0,Oct 2012,3.8944271473049685
2012,11,November,179156.0,Nov 2012,-1.4879414061211294
2012,12,December,173747.0,Dec 2012,-3.0191564893165768
2013,1,January,181729.0,Jan 2013,4.594036156019965
2013,2,February,160359.0,Feb 2013,-11.759267920915207
2013,3,March,181491.0,Mar 2013,13.17793201504125
2013,4,April,173642.0,Apr 2013,-4.324732355874394
2013,5,May,185826.0,May 2013,7.016735582405187
2013,6,June,176813.0,Jun 2013,-4.850236242506433
2013,7,July,180983.0,Jul 2013,2.358423871547899
2013,8,August,180031.0,Aug 2013,-0.5260162556704251
2013,9,September,176830.0,Sep 2013,-1.7780271175519724
2013,10,October,181521.0,Oct 2013,2.6528304020810856
2013,11,November,177341.0,Nov 2013,-2.302763867541502
2013,12,December,180802.0,Dec 2013,1.9516073553210944
2014,1,January,184554.0,Jan 2014,2.0751982832048377
2014,2,February,154151.0,Feb 2014,-16.47376919492398
2014,3,March,179804.0,Mar 2014,16.64147491745107
2014,4,April,174149.0,Apr 2014,-3.145091321661364
2014,5,May,169555.0,May 2014,-2.6379709329367396
2014,6,June,172741.0,Jun 2014,1.8790363009053124
2014,7,July,179026.0,Jul 2014,3.638395053866761
2014,8,August,178975.0,Aug 2014,-0.0284874822651493
2014,9,September,173385.0,Sep 2014,-3.1233412487777668
2014,10,October,179303.0,Oct 2014,3.4132133690919053
2014,11,November,174855.0,Nov 2014,-2.48071699860013
2014,12,December,174010.0,Dec 2014,-0.4832575562608965
2015,1,January,179837.0,Jan 2015,3.348658123096371
2015,2,February,160509.0,Feb 2015,-10.747510245388881
2015,3,March,94829.0,Mar 2015,-40.91982381050284
