year,quarter,transactions,revenue,avg_order_value
2011,2,4192,273478.0,65.23807251908397
2011,3,8245,535901.0,64.99708914493633
2011,4,8221,530960.0,64.58581681060699
2012,1,8099,528575.0,65.2642301518706
2012,2,8016,519813.0,64.84693113772455
2012,3,8234,533446.0,64.78576633470973
2012,4,8192,534765.0,65.2789306640625
2013,1,8098,523579.0,64.65534699925908
2013,2,8271,536281.0,64.83871357756016
2013,3,8265,537844.0,65.07489413188142
2013,4,8270,539664.0,65.25562273276904
2014,1,7969,518509.0,65.06575479984942
2014,2,7940,516445.0,65.04345088161209
2014,3,8179,531386.0,64.96955618046216
2014,4,8138,528168.0,64.90144998771197
2015,1,6671,435175.0,65.23384799880078
