transaction_id,transaction_time,year,quarter,month,month_name,day_of_week,item_code,item_description,number_of_items,cost_per_item,total_sales_value,country,hour_of_day,week_number
CS5295_0,2013-02-11,2013,1,2,February,Monday,ITM010,Power Strip,1,35.0,35.0,Netherlands,0,7
CS4768_1,2015-03-15,2015,1,3,March,Sunday,ITM001,Wireless Mouse,1,39.0,39.0,United Kingdom,0,11
CS2122_2,2013-02-26,2013,1,2,February,Tuesday,ITM005,Webcam HD,1,52.0,52.0,United States,0,9
CS1217_3,2011-11-16,2011,4,11,November,Wednesday,ITM004,Laptop Stand,1,99.0,99.0,Germany,0,46
CS1850_4,2013-11-20,2013,4,11,November,Wednesday,ITM012,Pen Set,1,78.0,78.0,United Kingdom,0,47
CS5539_5,2014-03-26,2014,1,3,March,Wednesday,ITM011,Notebook,1,81.0,81.0,United Kingdom,0,13
CS2724_6,2012-02-06,2012,1,2,February,Monday,ITM014,Sticky Notes,1,93.0,93.0,Germany,0,6
CS5902_7,2015-01-30,2015,1,1,January,Friday,ITM002,USB Keyboard,1,89.0,89.0,France,0,5
CS6040_8,2013-01-08,2013,1,1,January,Tuesday,ITM007,Phone Charger,1,76.0,76.0,Germany,0,2
CS3802_9,2013-08-20,2013,3,8,August,Tuesday,ITM001,Wireless Mouse,1,75.0,75.0,United States,0,34
CS3494_10,2013-07-02,2013,3,7,July,Tuesday,ITM004,Laptop Stand,1,94.0,94.0,France,0,27
CS3780_11,2013-03-25,2013,1,3,March,Monday,ITM008,Screen Cleaner,1,80.0,80.0,United Kingdom,0,13
CS1171_12,2012-11-03,2012,4,11,November,Saturday,ITM001,Wireless Mouse,1,59.0,59.0,Spain,0,44
CS2892_13,2013-05-12,2013,2,5,May,Sunday,ITM003,HDMI Cable,1,43.0,43.0,United States,0,19
CS5552_14,2014-12-29,2014,4,12,December,Monday,ITM010,Power Strip,1,78.0,78.0,Germany,0,1
CS6043_15,2014-01-15,2014,1,1,January,Wednesday,ITM009,Desk Lamp,1,98.0,98.0,United Kingdom,0,3
CS4147_16,2013-07-08,2013,3,7,July,Monday,ITM004,Laptop Stand,1,81.0,81.0,United States,0,28
CS4655_17,2013-12-30,2013,4,12,December,Monday,ITM009,Desk Lamp,1,93.0,93.0,Netherlands,0,1
CS3904_18,2014-07-20,2014,3,7,July,Sunday,ITM013,Stapler,1,103.0,103.0,Netherlands,0,29
CS4102_19,2011-07-09,2011,3,7,July,Saturday,ITM001,Wireless Mouse,1,96.0,96.0,United Kingdom,0,27
CS2086_20,2013-03-05,2013,1,3,March,Tuesday,ITM013,Stapler,1,75.0,75.0,Belgium,0,10
CS6085_21,2013-01-09,2013,1,1,January,Wednesday,ITM011,Notebook,1,49.0,49.0,United Kingdom,0,2
CS1328_22,2013-02-06,2013,1,2,February,Wednesday,ITM006,Headphones,1,54.0,54.0,United Kingdom,0,6
CS4564_23,2012-03-27,2012,1,3,March,Tuesday,ITM003,HDMI Cable,1,48.0,48.0,Germany,0,13
CS5910_24,2012-01-01,2012,1,1,January,Sunday,ITM015,Folder Set,1,98.0,98.0,United Kingdom,0,52
CS2748_25,2013-03-23,2013,1,3,March,Saturday,ITM006,Headphones,1,37.0,37.0,United States,0,12
CS5147_26,2013-04-29,2013,2,4,April,Monday,ITM002,USB Keyboard,1,72.0,72.0,United States,0,18
CS1770_27,2012-11-02,2012,4,11,November,Friday,ITM002,USB Keyboard,1,83.0,83.0,United Kingdom,0,44
CS3510_28,2011-10-24,2011,4,10,October,Monday,ITM013,Stapler,1,81.0,81.0,France,0,43
CS2509_29,2011-12-05,2011,4,12,December,Monday,ITM010,Power Strip,1,105.0,105.0,Australia,0,49
CS2859_30,2015-02-27,2015,1,2,February,Friday,ITM013,Stapler,1,77.0,77.0,Spain,0,9
CS1512_31,2015-02-21,2015,1,2,February,Saturday,ITM011,Notebook,1,71.0,71.0,United Kingdom,0,8
CS4148_32,2013-08-22,2013,3,8,August,Thursday,ITM009,Desk Lamp,1,48.0,48.0,Germany,0,34
CS1735_33,2012-03-31,2012,1,3,March,Saturday,ITM015,Folder Set,1,70.0,70.0,United States,0,13
CS1588_34,2012-01-27,2012,1,1,January,Friday,ITM006,Headphones,1,70.0,70.0,France,0,4
CS5514_35,2013-01-09,2013,1,1,January,Wednesday,ITM009,Desk Lamp,1,36.0,36.0,United Kingdom,0,2
CS5933_36,2013-10-07,2013,4,10,October,Monday,ITM013,Stapler,1,48.0,48.0,United Kingdom,0,41
CS2797_37,2014-03-06,2014,1,3,March,Thursday,ITM010,Power Strip,1,87.0,87.0,France,0,10
CS5313_38,2012-12-02,2012,4,12,December,Sunday,ITM013,Stapler,1,88.0,88.0,Germany,0,48
CS5966_39,2012-03-09,2012,1,3,March,Friday,ITM009,Desk Lamp,1,39.0,39.0,Spain,0,10
CS5211_40,2014-05-18,2014,2,5,May,Sunday,ITM011,Notebook,1,51.0,51.0,Netherlands,0,20
CS1511_41,2015-01-13,2015,1,1,January,Tuesday,ITM001,Wireless Mouse,1,47.0,47.0,United States,0,3
CS6087_42,2014-11-24,2014,4,11,November,Monday,ITM004,Laptop Stand,1,37.0,37.0,Australia,0,48
CS5909_43,2012-02-04,2012,1,2,February,Saturday,ITM005,Webcam HD,1,80.0,80.0,Netherlands,0,5
CS2845_44,2013-03-08,2013,1,3,March,Friday,ITM002,USB Keyboard,1,105.0,105.0,Spain,0,10
CS1433_45,2012-11-05,2012,4,11,November,Monday,ITM004,Laptop Stand,1,78.0,78.0,Spain,0,45
CS4897_46,2014-04-12,2014,2,4,April,Saturday,ITM002,USB Keyboard,1,45.0,45.0,France,0,15
CS2296_47,2012-12-28,2012,4,12,December,Friday,ITM005,Webcam HD,1,79.0,79.0,France,0,52
CS1494_48,2013-06-29,2013,2,6,June,Saturday,ITM010,Power Strip,1,59.0,59.0,Germany,0,26
CS3688_49,2014-06-19,2014,2,6,June,Thursday,ITM006,Headphones,1,55.0,55.0,Germany,0,25
CS2287_50,2011-12-23,2011,4,12,December,Friday,ITM006,Headphones,1,94.0,94.0,Spain,0,51
CS3779_51,2011-06-26,2011,2,6,June,Sunday,ITM004,Laptop Stand,1,69.0,69.0,Spain,0,25
CS1423_52,2014-06-05,2014,2,6,June,Thursday,ITM005,Webcam HD,1,78.0,78.0,Australia,0,23
CS2501_53,2012-11-14,2012,4,11,November,Wednesday,ITM015,Folder Set,1,59.0,59.0,Australia,0,46
CS3434_54,2013-02-22,2013,1,2,February,Friday,ITM010,Power Strip,1,98.0,98.0,United Kingdom,0,8
CS2662_55,2014-08-31,2014,3,8,August,Sunday,ITM010,Power Strip,1,88.0,88.0,Germany,0,35
